SEC_TERM,COURSE_SECTIONS_ID,SEC_STATUS,SEC_COMMENTS,SEC_PRINTED_COMMENTS,SEC_START_DATE,SEC_END_DATE,SEC_SUBJECT,SEC_COURSE_NO,SEC_NO,SEC_SHORT_TITLE,SEC_MIN_CRED,CSM_START_TIME,CSM_END_TIME,CSM_MONDAY,CSM_TUESDAY,CSM_WEDNESDAY,CSM_THURSDAY,CSM_FRIDAY,CSM_SATURDAY,CSM_SUNDAY,CSM_BLDG,CSM_ROOM,CSM_INSTR_METHOD,SEC_FACULTY_INFO,STUDENTS_AND_RESERVED_SEATS,SEC_CAPACITY,SEC_SCHED_CAPACITY,WAITLIST,XL_CAPACITY,XL_WAITLIST_MAX,CHARGE_AMT_1,CHARGE_AMT_2,CHARGE_AMT_3,AR_CODE_2,AR_CODE_3,sect_AW,sect_FAR,sect_HIS,sect_LIT,sect_CEA,sect_CL,sect_CD,sect_ER,sect_PHL,sect_THE,sect_FYC,sect_GD,sect_ILC,sect_IW,sect_ND,sect_NS,sect_OC,sect_PR,sect_QA,sect_SL,sect_SS,sect_WI,sect_PS,PREREQ,SEC_FACULTY_CONSENT_FLAG,SEC_PETITION_REQD_FLAG,SEC_HIDE_IN_CATALOG,CSM_START_DATE,CSM_END_DATE,NEEDS_BUILD,SEC_OVERRIDE_CRS_REQS_FLAG,SEC_OVR_PREREG_START_DATE,SEC_OVR_ADD_START_DATE,SEC_OVR_DROP_GR_REQD_DATE,SEC_OVR_DROP_END_DATE,SEC_ACAD_LEVEL,SEC_NO_WEEKS,SEC_XLIST,SEC_GRADE_SCHEME,SEC_CRED_TYPE,SEC_REG_RETAKE_POLICY,SEC_BILLING_CRED,SEC_BILLING_METHOD,SEC_BILLING_PERIOD_TYPE,SEC_MIN_ENROLL,SEC_ONLY_PASS_NOPASS_FLAG,SEC_ALLOW_PASS_NOPASS_FLAG,SEC_ALLOW_AUDIT_FLAG,SEC_ALLOW_WAITLIST_FLAG,SEC_WAITLIST_MAX,SEC_WAITLIST_NO_DAYS,SEC_CLOSE_WAITLIST_FLAG,CSM_ROOM_SCHED_TERM,SEC_SYNONYM,SEC_COURSE,SEC_NAME,SEC_MEETING_INFO,SEC_FIRST_MEETING_DATE,SEC_LAST_MEETING_DATE,Unnamed: 95,Unnamed: 96,TEST_INDEX
2024SP,20457,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CH,392,A,Physical Chemistry,3.0,09:00:00,09:50:00,Y,-,Y,-,Y,Unknown,Unknown,SIMP,231,LEC,J. Rowley,3.0,16.0,18.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19623,150,CH-392-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 231",Jan 17 2024,May  8 2024,Unknown,Unknown,172
2024SP,20458,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CH,406,A,Advanced Organic Chemistry,3.0,12:00:00,12:50:00,Y,-,Y,-,Y,Unknown,Unknown,SIMP,106,LEC,C. Pharr,4.0,16.0,18.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19624,191,CH-406-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, Simperman Hall, Room 106",Jan 17 2024,May  8 2024,Unknown,Unknown,174
2024SP,20454,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CH,412,A,Integrated Lab II (WI) Lab,2.0,08:30:00,12:00:00,-,Y,-,Y,-,Unknown,Unknown,FSCT,115,LAB,"R. Coates, J. Rowley",2.0,10.0,10.0,Unknown,Unknown,Unknown,70.0,Unknown,Unknown,Unknown,Unknown,AW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WI,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,2.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19620,2033,CH-412-A,"01/18/2024-05/09/2024 Lab Tuesday, Thursday 08:30AM - 12:00PM, Fortin Science Center, Room 115",Jan 18 2024,May  9 2024,Unknown,Unknown,175
2024SP,20501,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,101,A,Basic Communication,3.0,10:00:00,10:50:00,Y,-,Y,-,Y,Unknown,Unknown,STCH,45,LEC,C. Jones,22.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OC,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,2024SP,19667,377,CO-101-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 10:00AM - 10:50AM, St. Charles Hall, Room 045",Jan 17 2024,May  8 2024,Unknown,Unknown,180
2024SP,20502,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,101,B,Basic Communication,3.0,11:00:00,12:15:00,-,Y,-,Y,-,Unknown,Unknown,STCH,17,HYBRD,D. Kutufam,18.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OC,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,2024SP,19668,377,CO-101-B,"01/18/2024-05/09/2024 Hybrid (Remote & In-Person) Tuesday, Thursday 11:00AM - 12:15PM, St. Charles Hall, Room 017",Jan 18 2024,May  9 2024,Unknown,Unknown,181
2024SP,20503,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,101,C,Basic Communication,3.0,14:15:00,15:30:00,-,Y,-,Y,-,Unknown,Unknown,STCH,18,HYBRD,D. Kutufam,8.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OC,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,2024SP,19669,377,CO-101-C,"01/18/2024-05/09/2024 Hybrid (Remote & In-Person) Tuesday, Thursday 02:15PM - 03:30PM, St. Charles Hall, Room 018",Jan 18 2024,May  9 2024,Unknown,Unknown,182
2024SP,20504,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,101,D,Basic Communication,3.0,11:00:00,11:50:00,Y,-,Y,-,Y,Unknown,Unknown,STCH,140,LEC,A. Hansen,24.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OC,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,2024SP,19670,377,CO-101-D,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 11:00AM - 11:50AM, St. Charles Hall, Room 140",Jan 17 2024,May  8 2024,Unknown,Unknown,183
2024SP,20505,C,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,101,E,Basic Communication,3.0,14:15:00,15:30:00,-,Y,-,Y,-,Unknown,Unknown,SIMP,114,LEC,R. Martin,0.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OC,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Needs Build,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,2024SP,19671,377,CO-101-E,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 02:15PM - 03:30PM, Simperman Hall, Room 114",Jan 18 2024,May  9 2024,Unknown,Unknown,184
2024SP,20506,F,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,101,F,Basic Communication,3.0,18:00:00,21:00:00,Y,-,-,-,-,Unknown,Unknown,SIMP,108,LEC,P. Spencer,0.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OC,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,2024SP,19672,377,CO-101-F,"01/22/2024-05/06/2024 Lecture Monday 06:00PM - 09:00PM, Simperman Hall, Room 108",Jan 22 2024,May  6 2024,Unknown,Unknown,185
2024SP,20507,F,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,101,G,Basic Communication,3.0,18:00:00,21:00:00,-,-,-,Y,-,Unknown,Unknown,STCH,44,LEC,To be Announced,0.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OC,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,2024SP,19673,377,CO-101-G,"01/18/2024-05/09/2024 Lecture Thursday 06:00PM - 09:00PM, St. Charles Hall, Room 044",Jan 18 2024,May  9 2024,Unknown,Unknown,186
2024SP,20508,F,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,101,H,Basic Communication,3.0,12:00:00,12:50:00,Y,-,Y,-,Y,Unknown,Unknown,STCH,18,LEC,To be Announced,0.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,OC,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,2024SP,19674,377,CO-101-H,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, St. Charles Hall, Room 018",Jan 17 2024,May  8 2024,Unknown,Unknown,187
2024SP,20509,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,108,A,Digital Publishing,3.0,18:00:00,21:00:00,Y,-,-,-,-,Unknown,Unknown,SIMP,314,LEC,"D. Goodson, B. Northup",20.0,22.0,22.0,Unknown,Unknown,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SS,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19675,380,CO-108-A,"01/22/2024-05/06/2024 Lecture Monday 06:00PM - 09:00PM, Simperman Hall, Room 314",Jan 22 2024,May  6 2024,Unknown,Unknown,188
2024SP,20510,A,"Variable credit course. Choose your number of credits (1, 2 or 3)ýat your time of registration.  If not choosen at the time ofýregistrtion, you will then need to make credit changes in theýRegistrar's Office by the end of add/drop week.",Unknown,Jan 17 2024,May  9 2024,CO,112,A,Introduction to Forensics,1.0,15:45:00,17:00:00,-,Y,-,Y,-,Unknown,Unknown,OCON,102,LEC,B. Northup,6.0,50.0,Unknown,Unknown,Unknown,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,Unknown,T,T,4,N,Y,Y,N,Unknown,Unknown,Y,2024SP,19676,386,CO-112-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 03:45PM - 05:00PM, O'Connell Hall, Room 102",Jan 18 2024,May  9 2024,Unknown,Unknown,189
2024SP,20826,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,145,A,Podcasting Production,1.0,14:00:00,14:45:00,-,-,-,-,Y,Unknown,Unknown,STCH,44,LEC,A. Hansen,8.0,20.0,20.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,Unknown,Unknown,+,INST,R2,1.0,T,T,15,N,Y,Y,Y,10.0,3.0,Y,Unknown,19968,2739,CO-145-A,"01/19/2024-05/03/2024 Lecture Friday 02:00PM - 02:45PM, St. Charles Hall, Room 044",Jan 19 2024,May  3 2024,Unknown,Unknown,190
2024SP,20824,C,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,189,A,Comm Career Networking,1.0,18:00:00,18:50:00,-,-,-,Y,-,Unknown,Unknown,Unknown,Unknown,REMOT,P. Manning,0.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Needs Build,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,UL,Unknown,T,T,4,N,N,Y,Y,10.0,3.0,Y,Unknown,19966,936,CO-189-A,"01/18/2024-05/09/2024 Remote (Synchronous) Thursday 06:00PM - 06:50PM, Room to be Announced",Jan 18 2024,May  9 2024,Unknown,Unknown,192
2024SP,20511,A,"Variable credit course. Choose your number of credits (1, 2 or 3)ýat your time of registration.  If not choosen at the time ofýregistrtion, you will then need to make credit changes in theýRegistrar's Office by the end of add/drop week.",Unknown,Jan 17 2024,May  9 2024,CO,212,A,Advanced Forensics,1.0,15:45:00,17:00:00,-,Y,-,Y,-,Unknown,Unknown,OCON,102,LEC,B. Northup,2.0,50.0,Unknown,Unknown,Unknown,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,Unknown,T,T,4,N,Y,Y,N,Unknown,Unknown,Y,2024SP,19677,414,CO-212-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 03:45PM - 05:00PM, O'Connell Hall, Room 102",Jan 18 2024,May  9 2024,Unknown,Unknown,193
2024SP,20522,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,220,A,Event Planning,3.0,15:00:00,16:15:00,Y,-,Y,-,-,Unknown,Unknown,STCH,44,LEC,B. Northup,16.0,25.0,25.0,Unknown,Unknown,Unknown,25.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19688,2543,CO-220-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday 03:00PM - 04:15PM, St. Charles Hall, Room 044",Jan 17 2024,May  8 2024,Unknown,Unknown,194
2024SP,20526,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,225,A,Professional Communication,3.0,16:30:00,17:45:00,Y,-,Y,-,-,Unknown,Unknown,STCH,45,LEC,B. Northup,14.0,34.0,34.0,Unknown,Unknown,Unknown,25.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SS,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19689,433,CO-225-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday 04:30PM - 05:45PM, St. Charles Hall, Room 045",Jan 17 2024,May  8 2024,Unknown,Unknown,195
2024SP,20513,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,250,A,Social Media and Communication,3.0,09:30:00,10:45:00,-,Y,-,Y,-,Unknown,Unknown,STCH,18,HYBRD,D. Kutufam,22.0,22.0,22.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SS,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19679,1958,CO-250-A,"01/18/2024-05/09/2024 Hybrid (Remote & In-Person) Tuesday, Thursday 09:30AM - 10:45AM, St. Charles Hall, Room 018",Jan 18 2024,May  9 2024,Unknown,Unknown,197
2024SP,20482,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,306,A,Writing for the Media (WI),3.0,18:00:00,21:00:00,-,Y,-,-,-,Unknown,Unknown,STCH,140,LEC,"B. Northup, E. Byron",9.0,25.0,25.0,Unknown,25.0,10.0,Unknown,Unknown,Unknown,Unknown,Unknown,AW,-,-,-,-,CL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WI,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,681.0,+,INST,R2,3.0,T,T,4,N,N,Y,Y,10.0,3.0,Y,Unknown,19648,447,CO-306-A,"01/23/2024-05/07/2024 Lecture Tuesday 06:00PM - 09:00PM, St. Charles Hall, Room 140",Jan 23 2024,May  7 2024,Unknown,Unknown,198
2024SP,20514,A,"Variable credit course. Choose your number of credits (1, 2 or 3)ýat your time of registration.  If not choosen at the time ofýregistrtion, you will then need to make credit changes in theýRegistrar's Office by the end of add/drop week.",Unknown,Jan 17 2024,May  9 2024,CO,312,A,Advanced Forensics,1.0,15:45:00,17:00:00,-,Y,-,Y,-,Unknown,Unknown,OCON,102,LEC,B. Northup,3.0,50.0,Unknown,Unknown,Unknown,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,Unknown,T,T,4,N,Y,Y,N,Unknown,Unknown,Y,2024SP,19680,418,CO-312-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 03:45PM - 05:00PM, O'Connell Hall, Room 102",Jan 18 2024,May  9 2024,Unknown,Unknown,199
2024SP,20515,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,320,A,Organizational Communication,3.0,14:15:00,15:30:00,-,Y,-,Y,-,Unknown,Unknown,STCH,45,LEC,A. Hansen,16.0,32.0,32.0,Unknown,Unknown,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SS,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19681,452,CO-320-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 02:15PM - 03:30PM, St. Charles Hall, Room 045",Jan 18 2024,May  9 2024,Unknown,Unknown,200
2024SP,20516,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,325G,A,Intercultural Comm (GD),3.0,11:00:00,12:15:00,-,Y,-,Y,-,Unknown,Unknown,SIMP,106,LEC,A. Hansen,11.0,25.0,25.0,Unknown,25.0,10.0,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,CD,-,-,-,-,GD,-,-,-,-,-,-,-,-,SS,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,682.0,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19682,1962,CO-325G-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 11:00AM - 12:15PM, Simperman Hall, Room 106",Jan 18 2024,May  9 2024,Unknown,Unknown,201
2024SP,20517,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,325N,A,Intercultural Comm (ND),3.0,11:00:00,12:15:00,-,Y,-,Y,-,Unknown,Unknown,SIMP,106,LEC,A. Hansen,0.0,25.0,25.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,CD,-,-,-,-,-,-,-,ND,-,-,-,-,-,SS,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,682.0,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,2024SP,19683,1963,CO-325N-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 11:00AM - 12:15PM, Simperman Hall, Room 106",Jan 18 2024,May  9 2024,Unknown,Unknown,202
2024SP,20527,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,340,A,Interpersonal Comm Theory,3.0,11:00:00,12:15:00,Y,-,Y,-,-,Unknown,Unknown,STCH,45,LEC,C. Jones,10.0,15.0,15.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SS,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19690,457,CO-340-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday 11:00AM - 12:15PM, St. Charles Hall, Room 045",Jan 17 2024,May  8 2024,Unknown,Unknown,203
2024SP,20528,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,340,B,Interpersonal Comm Theory,3.0,12:40:00,13:55:00,Y,-,Y,-,-,Unknown,Unknown,STCH,45,LEC,C. Jones,4.0,15.0,15.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SS,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19691,457,CO-340-B,"01/17/2024-05/09/2024 Lecture Monday, Wednesday 12:40PM - 01:55PM, St. Charles Hall, Room 045",Jan 17 2024,May  8 2024,Unknown,Unknown,204
2024SP,20529,A,Unknown,Unknown,Jan 17 2024,May  9 2024,CO,340,C,Interpersonal Comm Theory,3.0,15:00:00,16:15:00,Y,-,Y,-,-,Unknown,Unknown,STCH,45,LEC,C. Jones,7.0,15.0,15.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,SS,-,-,Y,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,3.0,T,T,4,N,Y,Y,Y,10.0,3.0,Y,Unknown,19692,457,CO-340-C,"01/17/2024-05/09/2024 Lecture Monday, Wednesday 03:00PM - 04:15PM, St. Charles Hall, Room 045",Jan 17 2024,May  8 2024,Unknown,Unknown,205
2024SP,20518,A,"Variable credit course. Choose your number of credits (1, 2 or 3)ýat your time of registration.  If not choosen at the time ofýregistrtion, you will then need to make credit changes in theýRegistrar's Office by the end of add/drop week.",Unknown,Jan 17 2024,May  9 2024,CO,412,A,Advanced Forensics,1.0,15:45:00,17:00:00,-,Y,-,Y,-,Unknown,Unknown,OCON,102,LEC,B. Northup,1.0,50.0,Unknown,Unknown,Unknown,Unknown,20.0,Unknown,Unknown,Unknown,Unknown,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Unknown,N,N,Unknown,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,Unknown,Unknown,Unknown,Unknown,UG,15.0,Unknown,+,INST,R2,Unknown,T,T,4,N,Y,Y,N,Unknown,Unknown,Y,2024SP,19684,422,CO-412-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 03:45PM - 05:00PM, O'Connell Hall, Room 102",Jan 18 2024,May  9 2024,Unknown,Unknown,206
