SEC_TERM,COURSE_SECTIONS_ID,SEC_STATUS,SEC_COMMENTS,SEC_PRINTED_COMMENTS,SEC_START_DATE,SEC_END_DATE,SEC_SUBJECT,SEC_COURSE_NO,SEC_NO,SEC_SHORT_TITLE,SEC_MIN_CRED,CSM_START_TIME,CSM_END_TIME,CSM_MONDAY,CSM_TUESDAY,CSM_WEDNESDAY,CSM_THURSDAY,CSM_FRIDAY,CSM_SATURDAY,CSM_SUNDAY,CSM_BLDG,CSM_ROOM,CSM_INSTR_METHOD,SEC_FACULTY_INFO,STUDENTS_AND_RESERVED_SEATS,SEC_CAPACITY,SEC_SCHED_CAPACITY,WAITLIST,XL_CAPACITY,XL_WAITLIST_MAX,CHARGE_AMT_1,CHARGE_AMT_2,CHARGE_AMT_3,AR_CODE_2,AR_CODE_3,sect_AW,sect_FAR,sect_HIS,sect_LIT,sect_CEA,sect_CL,sect_CD,sect_ER,sect_PHL,sect_THE,sect_FYC,sect_GD,sect_ILC,sect_IW,sect_ND,sect_NS,sect_OC,sect_PR,sect_QA,sect_SL,sect_SS,sect_WI,sect_PS,PREREQ,SEC_FACULTY_CONSENT_FLAG,SEC_PETITION_REQD_FLAG,SEC_HIDE_IN_CATALOG,CSM_START_DATE,CSM_END_DATE,NEEDS_BUILD,SEC_OVERRIDE_CRS_REQS_FLAG,SEC_OVR_PREREG_START_DATE,SEC_OVR_ADD_START_DATE,SEC_OVR_DROP_GR_REQD_DATE,SEC_OVR_DROP_END_DATE,SEC_ACAD_LEVEL,SEC_NO_WEEKS,SEC_XLIST,SEC_GRADE_SCHEME,SEC_CRED_TYPE,SEC_REG_RETAKE_POLICY,SEC_BILLING_CRED,SEC_BILLING_METHOD,SEC_BILLING_PERIOD_TYPE,SEC_MIN_ENROLL,SEC_ONLY_PASS_NOPASS_FLAG,SEC_ALLOW_PASS_NOPASS_FLAG,SEC_ALLOW_AUDIT_FLAG,SEC_ALLOW_WAITLIST_FLAG,SEC_WAITLIST_MAX,SEC_WAITLIST_NO_DAYS,SEC_CLOSE_WAITLIST_FLAG,CSM_ROOM_SCHED_TERM,SEC_SYNONYM,SEC_COURSE,SEC_NAME,SEC_MEETING_INFO,SEC_FIRST_MEETING_DATE,SEC_LAST_MEETING_DATE,,,TEST_INDEX
2024SP,20404,A,,,Jan 17 2024,May  9 2024,BI,132,A,Physiology and Ecology Lab,,9:30AM,12:15PM,-,-,-,Y,-,,,SIMP,321,LAB2,T. Almquist,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19570,2500,BI-132-A,"01/17/2024-05/09/2024 Lab Thursday 09:30AM - 12:15PM, Simperman Hall, Room 320 (more)...",Jan 18 2024,May  9 2024,,,106
2024SP,20405,A,,,Jan 17 2024,May  9 2024,BI,132,B,Physiology and Ecology Lab,1,2:15PM,5:00PM,-,-,-,Y,-,,,SIMP,320,LAB,T. Almquist,45,48,48,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19571,2500,BI-132-B,"01/17/2024-05/09/2024 Lab Thursday 02:15PM - 05:00PM, Simperman Hall, Room 320 (more)...",Jan 18 2024,May  9 2024,,,107
2024SP,20405,A,,,Jan 17 2024,May  9 2024,BI,132,B,Physiology and Ecology Lab,,2:15PM,5:00PM,-,-,-,Y,-,,,SIMP,321,LAB2,T. Almquist,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NS,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19571,2500,BI-132-B,"01/17/2024-05/09/2024 Lab Thursday 02:15PM - 05:00PM, Simperman Hall, Room 320 (more)...",Jan 18 2024,May  9 2024,,,108
2024SP,20406,A,,,Jan 17 2024,May  9 2024,BI,202,A,Intro to Human A & P II,4,8:00AM,8:50AM,Y,-,Y,-,Y,,,OCON,107,LEC,E. Sheafor,49,49,49,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,4,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19572,96,BI-202-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 08:00AM - 08:50AM, O'Connell Hall, Room 107",Jan 17 2024,May  8 2024,,,109
2024SP,20407,C,,,Jan 17 2024,May  9 2024,BI,202,B,Intro to Human A & P II,4,9:00AM,9:50AM,Y,-,Y,-,Y,,,OCON,107,LEC,A. Hahn,0,49,49,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,4,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19573,96,BI-202-B,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, O'Connell Hall, Room 107",Jan 17 2024,May  8 2024,,,110
2024SP,20408,A,,,Jan 17 2024,May  9 2024,BI,202L,A,Intro to Human A & P II Lab,0,9:30AM,12:00PM,-,Y,-,-,-,,,SIMP,400,LAB,E. Sheafor,10,20,20,,,,50,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,,NGRD,R2,0,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19574,1581,BI-202L-A,"01/17/2024-05/09/2024 Lab Tuesday 09:30AM - 12:00PM, Simperman Hall, Room 400",Jan 23 2024,May  7 2024,,,111
2024SP,20409,A,,,Jan 17 2024,May  9 2024,BI,202L,B,Intro to Human A & P II Lab,0,2:30PM,5:00PM,-,Y,-,-,-,,,SIMP,400,LAB,E. Sheafor,20,20,20,,,,50,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,,NGRD,R2,0,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19575,1581,BI-202L-B,"01/17/2024-05/09/2024 Lab Tuesday 02:30PM - 05:00PM, Simperman Hall, Room 400",Jan 23 2024,May  7 2024,,,112
2024SP,20410,C,,,Jan 17 2024,May  9 2024,BI,202L,C,Intro to Human A & P II Lab,0,9:30AM,12:00PM,-,-,-,Y,-,,,SIMP,400,LAB,E. Sheafor,0,20,20,,,,50,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,,NGRD,R2,0,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19576,1581,BI-202L-C,"01/18/2024-05/09/2024 Lab Thursday 09:30AM - 12:00PM, Simperman Hall, Room 400",Jan 18 2024,May  9 2024,,,113
2024SP,20411,A,,,Jan 17 2024,May  9 2024,BI,202L,D,Intro to Human A & P II Lab,0,2:30PM,5:00PM,-,-,-,Y,-,,,SIMP,400,LAB,E. Sheafor,19,20,20,,,,50,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,,NGRD,R2,0,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19577,1581,BI-202L-D,"01/17/2024-05/09/2024 Lab Thursday 02:30PM - 05:00PM, Simperman Hall, Room 400",Jan 18 2024,May  9 2024,,,114
2024SP,20412,A,,,Jan 17 2024,May  9 2024,BI,281,A,Genetics,3,11:00AM,11:50AM,Y,-,Y,-,Y,,,SIMP,101,LEC,A. Beck,61,72,72,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19578,1583,BI-281-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 11:00AM - 11:50AM, Simperman Hall, Room 101",Jan 17 2024,May  8 2024,,,115
2024SP,20413,A,,,Jan 17 2024,May  9 2024,BI,281L,A,Genetics Lab,1,9:30AM,12:15PM,-,Y,-,-,-,,,SIMP,220,LAB,A. Beck,24,24,24,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,IW,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19579,1584,BI-281L-A,"01/23/2024-05/07/2024 Lab Tuesday 09:30AM - 12:15PM, Simperman Hall, Room 220",Jan 23 2024,May  7 2024,,,116
2024SP,20414,A,,,Jan 17 2024,May  9 2024,BI,281L,B,Genetics Lab,1,3:00PM,5:45PM,-,-,Y,-,-,,,SIMP,220,LAB,A. Beck,16,24,24,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,IW,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19580,1584,BI-281L-B,"01/17/2024-05/08/2024 Lab Wednesday 03:00PM - 05:45PM, Simperman Hall, Room 220",Jan 17 2024,May  8 2024,,,117
2024SP,20415,A,,,Jan 17 2024,May  9 2024,BI,281L,C,Genetics Lab,1,9:30AM,12:15PM,-,-,-,Y,-,,,SIMP,220,LAB,A. Beck,19,24,24,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,IW,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19581,1584,BI-281L-C,"01/18/2024-05/09/2024 Lab Thursday 09:30AM - 12:15PM, Simperman Hall, Room 220",Jan 18 2024,May  9 2024,,,118
2024SP,20416,A,,,Jan 17 2024,May  9 2024,BI,305,A,Microbiology,3,12:00PM,12:50PM,Y,-,Y,-,Y,,,SIMP,108,LEC,C. Goemann,23,24,24,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19582,104,BI-305-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 12:00PM - 12:50PM, Simperman Hall, Room 108",Jan 17 2024,May  8 2024,,,119
2024SP,20417,A,,,Jan 17 2024,May  9 2024,BI,305L,A,Microbiology Lab,1,9:15AM,12:15PM,-,-,-,Y,-,,,SIMP,221,LAB,C. Goemann,21,21,20,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19583,1714,BI-305L-A,"01/18/2024-05/09/2024 Lab Thursday 09:15AM - 12:15PM, Simperman Hall, Room 221",Jan 18 2024,May  9 2024,,,120
2024SP,20418,A,,,Jan 17 2024,May  9 2024,BI,307,A,Animal Physiology,3,1:00PM,1:50PM,Y,-,Y,-,Y,,,OCON,102,LEC,B. Sheafor,23,36,36,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19584,106,BI-307-A,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 01:00PM - 01:50PM, O'Connell Hall, Room 102",Jan 17 2024,May  8 2024,,,121
2024SP,20782,A,,,Jan 17 2024,May  9 2024,BI,307L,A,Animal Physiology Lab,1,9:15AM,12:15PM,-,Y,-,-,-,,,SIMP,316,LAB,B. Sheafor,12,16,,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,,19929,2143,BI-307L-A,"01/23/2024-05/07/2024 Lab Tuesday 09:15AM - 12:15PM, Simperman Hall, Room 316",Jan 23 2024,May  7 2024,,,122
2024SP,20783,A,,,Jan 17 2024,May  9 2024,BI,307L,B,Animal Physiology Lab,1,2:00PM,5:00PM,-,Y,-,-,-,,,SIMP,316,LAB,B. Sheafor,6,16,,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,,19930,2143,BI-307L-B,"01/23/2024-05/07/2024 Lab Tuesday 02:00PM - 05:00PM, Simperman Hall, Room 316",Jan 23 2024,May  7 2024,,,123
2024SP,20419,A,,,Jan 17 2024,May  9 2024,BI,311,A,Ecology,3,9:00AM,9:50AM,Y,-,Y,-,Y,,,SIMP,106,LEC,T. Almquist,10,24,24,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19585,2666,BI-311-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, Simperman Hall, Room 106",Jan 17 2024,May  8 2024,,,124
2024SP,20420,A,,,Jan 17 2024,May  9 2024,BI,311L,A,Ecology Lab,1,9:15AM,12:15PM,-,Y,-,-,-,,,SIMP,214,LAB,T. Almquist,6,24,24,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19586,1695,BI-311L-A,"01/23/2024-05/07/2024 Lab Tuesday 09:15AM - 12:15PM, Simperman Hall, Room 214",Jan 23 2024,May  7 2024,,,125
2024SP,20421,A,,,Jan 17 2024,May  9 2024,BI,329,A,Molecular Biology,3,2:00PM,2:50PM,Y,-,Y,-,Y,,,STCH,140,LEC,S. Otto-Hitt,20,25,25,,,,100,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19587,1887,BI-329-A,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 02:00PM - 02:50PM, St. Charles Hall, Room 140",Jan 17 2024,May  8 2024,,,126
2024SP,20433,C,,,Jan 17 2024,May  9 2024,BI,329L,A,Molecular Biology Lab,1,2:15PM,5:00PM,-,Y,-,-,-,,,,,LAB,S. Otto-Hitt,0,20,20,,,,60,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,,19599,2655,BI-329L-A,"01/17/2024-05/09/2024 Lab Tuesday 02:15PM - 05:00PM, Room to be Announced",Jan 17 2024,May  9 2024,,,127
2024SP,20784,A,,,Jan 17 2024,May  9 2024,BI,391,A,Research Exp Molecular Bio WI,2,2:15PM,5:15PM,-,Y,-,Y,-,,,SIMP,231,RSRCH,S. Otto-Hitt,16,16,,,,,120,,,,,AW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WI,-,,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,UL,2,T,T,4,N,Y,Y,Y,10,3,Y,,19931,2534,BI-391-A,"01/17/2024-05/09/2024 Research Tuesday, Thursday 02:15PM - 05:15PM, Simperman Hall, Room 231",Jan 17 2024,May  9 2024,,,128
2024SP,20434,A,,,Jan 17 2024,May  9 2024,BI,393,A,Infectious Disease Ecology,2,2:15PM,5:15PM,Y,-,Y,-,-,,,SIMP,316,RSRCH,D. Hokit,6,16,16,,,,120,,,,,AW,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,WI,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,UL,2,T,T,4,N,Y,Y,Y,10,3,Y,,19600,2536,BI-393-A,"01/17/2024-05/08/2024 Research Monday, Wednesday 02:15PM - 05:15PM, Simperman Hall, Room 316",Jan 17 2024,May  8 2024,,,129
2024SP,20422,A,,,Jan 17 2024,May  9 2024,BI,425,A,Internship,1,,,-,-,-,-,-,,,,,INTR,D. Hokit,4,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,,,+,INST,R2,,T,T,4,N,N,Y,Y,10,3,Y,2024SP,19588,907,BI-425-A,"01/17/2024-05/09/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,130
2024SP,20423,A,,,Jan 17 2024,May  9 2024,BI,425,B,Internship,1,,,-,-,-,-,-,,,,,INTR,B. Sheafor,0,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,,,+,INST,R2,,T,T,4,N,N,Y,Y,10,3,Y,2024SP,19589,907,BI-425-B,"01/17/2024-05/09/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,131
2024SP,20867,A,,,Jan 17 2024,May  9 2024,BI,425,C,Internship,1,,,-,-,-,-,-,,,,,INTR,C. Carpenter,2,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,,,+,INST,R2,,T,T,4,N,N,Y,Y,,3,Y,,20002,907,BI-425-C,"01/17/2024-05/09/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,132
2024SP,20873,A,,,Jan 17 2024,May  9 2024,BI,425,D,Internship,1,,,-,-,-,-,-,,,,,INTR,A. Beck,1,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,,,+,INST,R2,,T,T,4,N,N,Y,Y,,3,Y,,20008,907,BI-425-D,"01/17/2024-05/09/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,133
2024SP,20897,A,,,Jan 17 2024,May  9 2024,BI,425,E,Internship,1,,,-,-,-,-,-,,,,,INTR,T. Almquist,1,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,,,+,INST,R2,,T,T,4,N,N,Y,Y,,3,Y,,20028,907,BI-425-E,"01/17/2024-05/09/2024 Internship Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,134
2024SP,20424,A,,,Jan 17 2024,May  9 2024,BI,485,A,Independent Study,1,,,-,-,-,-,-,,,,,INDP,S. Otto-Hitt,0,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,UL,,T,T,4,N,Y,N,N,,,Y,2024SP,19590,816,BI-485-A,"01/17/2024-05/09/2024 Independent Study Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,135
2024SP,20425,A,,,Jan 17 2024,May  9 2024,BI,485,B,Independent Study,1,,,-,-,-,-,-,,,,,INDP,B. Sheafor,0,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,UL,,T,T,4,N,Y,N,N,,,Y,2024SP,19591,816,BI-485-B,"01/17/2024-05/09/2024 Independent Study Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,136
2024SP,20426,A,,,Jan 17 2024,May  9 2024,BI,485,C,Independent Study,1,,,-,-,-,-,-,,,,,INDP,A. Beck,2,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,UL,,T,T,4,N,Y,N,N,,,Y,2024SP,19592,816,BI-485-C,"01/17/2024-05/09/2024 Independent Study Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,137
2024SP,20427,A,,,Jan 17 2024,May  9 2024,BI,485,D,Independent Study,1,,,-,-,-,-,-,,,,,INDP,T. Almquist,0,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,UL,,T,T,4,N,Y,N,N,,,Y,2024SP,19593,816,BI-485-D,"01/17/2024-05/09/2024 Independent Study Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,138
2024SP,20428,A,,,Jan 17 2024,May  9 2024,BI,485,F,Independent Study,1,,,-,-,-,-,-,,,,,INDP,To be Announced,0,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,UL,,T,T,4,N,Y,N,N,,,Y,2024SP,19594,816,BI-485-F,"01/17/2024-05/09/2024 Independent Study Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,139
2024SP,20429,A,,,Jan 17 2024,May  9 2024,BI,496,A,Senior Seminar,1,3:00PM,3:50PM,-,-,Y,-,-,,,SIMP,106,SEM,T. Almquist,15,25,25,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,1,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19595,115,BI-496-A,"01/17/2024-05/08/2024 Seminar Wednesday 03:00PM - 03:50PM, Simperman Hall, Room 106",Jan 17 2024,May  8 2024,,,140
2024SP,20430,A,,,Jan 17 2024,May  9 2024,BI,499,A,Senior Thesis,1,,,-,-,-,-,-,,,,,HON,A. Beck,1,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,N,N,,,Y,,19596,785,BI-499-A,"01/17/2024-05/09/2024 Honors Thesis Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,141
2024SP,20431,A,,,Jan 17 2024,May  9 2024,BI,499,B,Senior Thesis,1,,,-,-,-,-,-,,,,,HON,D. Hokit,0,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,N,N,,,Y,,19597,785,BI-499-B,"01/17/2024-05/09/2024 Honors Thesis Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,142
2024SP,20891,A,,,Jan 17 2024,May  9 2024,BI,499,C,Senior Thesis,1,,,-,-,-,-,-,,,,,HON,A. Beck,1,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,Y,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,N,N,,,Y,,20023,785,BI-499-C,"01/17/2024-05/09/2024 Honors Thesis Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,143
2024SP,20432,A,,,Jan 17 2024,May  9 2024,BI,COMP,A,Biology Comprehensive Exam,0,,,-,-,-,-,-,,,,,LEC,T. Almquist,13,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,,,+,INST,R2,0,T,T,4,N,Y,N,N,,,Y,2024SP,19598,1789,BI-COMP-A,"01/17/2024-05/09/2024 Lecture Days to be Announced, Times to be Announced, Room to be Announced",Jan 17 2024,May  9 2024,,,144
2024SP,20594,A,,"This course will provide an introduction to Catholicýanthropology: understandings of the origin, journey, and end ofýthe human person. We will read a selection of ancient throughýcontemporary thinkers in order to investigate three central areasýof inquiry about the human. Creation: What does it mean to beýcreated? To be made in God's image? Sin and Redemption: What doesýit mean to be creatures marred by sin and redeemed by Christ?ýWhat is the role of grace? Sanctification and Salvation: What isýthe end for which we hope, and what does the full flourishing ofýthe human entail? We will use our investigations to considerýchallenging issues which, although perennial, involve discerniblyýpressing questions as, in the phrase of Gaudium et Spes, ""signsýof the times"" (#22). We will look at sex and gender, race,ýdisability, suffering, and the social dimension per se of beingýhuman, and ask how the Catholic Tradition thinks about theseýdifferent aspects of being human, as well as how these issues mayýchallenge us to clarify and enrich our grasp of what it means toýbe human.",Jan 17 2024,May  9 2024,CATH,206,A,Catholic Anthropology,3,9:30AM,10:45AM,-,Y,-,Y,-,,,SIMP,234,LEC,M. Lenneman,18,20,20,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19757,2438,CATH-206-A,"01/18/2024-05/09/2024 Lecture Tuesday, Thursday 09:30AM - 10:45AM, Simperman Hall, Room 234",Jan 18 2024,May  9 2024,,,145
